The Schools extracted from The CSV File
School [Name=﻿Name , Lat=lat , Lng=lng , Rate=rating]
School [Name=Oasis Manor , Lat=-26.1916317 , Lng=27.6995557 , Rate=5]
School [Name=Orlando High School , Lat=-26.230698 , Lng=27.926259 , Rate=4]
School [Name=PC Training & Business College , Lat=-26.258319 , Lng=27.942437 , Rate=0]
School [Name=Pace Community College , Lat=-26.240036 , Lng=27.854647 , Rate=4]
School [Name=Penguin Aquatic Swim School , Lat=-26.273884 , Lng=27.899241 , Rate=0]
School [Name=Peter Lengene Community Learning Centre , Lat=-26.2582484 , Lng=27.9161679 , Rate=0]
School [Name=Phafogang Secondary School , Lat=-26.2673203 , Lng=27.8671981 , Rate=2]
School [Name=Pq vundla , Lat=-26.263621 , Lng=27.8622817 , Rate=4]
School [Name=Prestige College , Lat=-26.2719769 , Lng=27.7706557 , Rate=0]
School [Name=Protea Glen College , Lat=-26.276664 , Lng=27.821564 , Rate=4.3]
School [Name=ROYAL COLLEGE , Lat=-26.171561 , Lng=27.909915 , Rate=4]
School [Name=Rebone Primary School , Lat=-26.25611 , Lng=27.81666 , Rate=3.5]
School [Name=Rhodes FET Technical College , Lat=-26.3203839 , Lng=27.825767 , Rate=3]
School [Name=Saint Barnabas College , Lat=-26.18984 , Lng=27.95108 , Rate=5]
School [Name=Saint Ives Primary School , Lat=-26.2950999 , Lng=27.87319 , Rate=4.8]
School [Name=Saint Martin De Porres High School , Lat=-26.22805 , Lng=27.91265 , Rate=4.8]
School [Name=Silver Oaks Secondary School , Lat=-26.2902399 , Lng=27.91733 , Rate=4.6]
School [Name=Sivuleleni Primary School , Lat=-26.2351399 , Lng=27.84317 , Rate=4.5]
School [Name=Siyabonga Secondary School , Lat=-26.190839 , Lng=27.862424 , Rate=4.8]
School [Name=Sizwile School For Deaf Children , Lat=-26.2154609 , Lng=27.861097 , Rate=4.7]
School [Name=South West College , Lat=-26.2136639 , Lng=27.873929 , Rate=0]
School [Name=South West College Corporate Office , Lat=-26.2649429 , Lng=27.8605697 , Rate=4.2]
School [Name=South West Gaugteng College Of Engineer , Lat=-26.1534144 , Lng=27.8595049 , Rate=3]
School [Name=South West Gauteng College - Roodepoort Campus , Lat=-26.1404831 , Lng=27.8677946 , Rate=2.6]
School [Name=South West Gauteng TVET College - Roodeport , Lat=-26.2135569 , Lng=27.874307 , Rate=3.5]
School [Name=Southwest Media College , Lat=-26.192122 , Lng=28.035905 , Rate=3.3]
School [Name=Soweto College of Education , Lat=-26.2596399 , Lng=27.9112851 , Rate=3]
School [Name=Sparrow FET College , Lat=-26.172191 , Lng=27.9848115 , Rate=5]
School [Name=St Barnbas College , Lat=-26.1898377 , Lng=27.9517133 , Rate=4.9]
School [Name=St Matthews School , Lat=-26.259996 , Lng=27.881219 , Rate=3.8]
School [Name=St Peter Claver Catholic School , Lat=-26.2720959 , Lng=27.900649 , Rate=2.5]
School [Name=Teacher Development Centre (Central District D14) , Lat=-26.2660226 , Lng=27.8742959 , Rate=0]
School [Name=Thakhisa Primary School , Lat=-26.2111451 , Lng=27.8810477 , Rate=4]
School [Name=Thathani Primary School , Lat=-26.238322 , Lng=27.844404 , Rate=0]
School [Name=The Plumbing Academy , Lat=-26.2711408 , Lng=27.8767347 , Rate=1]
School [Name=Thulani Secondary School , Lat=-26.2168081 , Lng=27.8277375 , Rate=3.7]
School [Name=UKWAZI SCHOOL OF NURSING , Lat=-26.139497 , Lng=27.8676667 , Rate=4.4]
School [Name=Ukwazi Skills Campus Pty Ltd , Lat=-26.13946 , Lng=27.8676727 , Rate=4]
School [Name=University of Johannesburg: Soweto Campus , Lat=-26.2614269 , Lng=27.922561 , Rate=4.4]
School [Name=Vukazenzele Primary School , Lat=-26.2349599 , Lng=27.87812 , Rate=0]
School [Name=WO BIBLE COLLEGE , Lat=-26.26606 , Lng=27.87366 , Rate=5]
School [Name=Western College TVET , Lat=-26.18854 , Lng=27.67719 , Rate=3.7]
School [Name=Winnie Madikizela-Mandela School , Lat=-26.2729123 , Lng=27.8689629 , Rate=5]
School [Name=Zerowa Christian Academy , Lat=-26.2871157 , Lng=27.8960542 , Rate=5]
School [Name=reabetswe abby plumbing academy , Lat=-26.264088 , Lng=27.863404 , Rate=1]
School [Name=﻿Name , Lat=lat , Lng=lng , Rate=rating]
-------------------------------------------------------------------------------------------
-------------------------------------------------------------------------------------------
The running time in milliseconds for the QUICK SORT is : 1
The Schools extracted from The CSV File: QUICK SORT
School [Name=A.B. Xuma Primary School , Lat=-26.2346784 , Lng=27.9204306 , Rate=3.7]
School [Name=Adelaide Tambo School for the Physically Challenged , Lat=-26.2496042 , Lng=27.8760558 , Rate=0]
School [Name=Adelaide Thambo School , Lat=-26.2488437 , Lng=27.8764192 , Rate=3]
School [Name=Altmont Technical High School , Lat=-26.2812357 , Lng=27.8424725 , Rate=4.8]
